id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement,nb_rapports_inspection
53320787,SAS CHATEAU MILORD,SAS CHATEAU MILORD,,SAS CHATEAU MILORD,33194,Grézillac,243301454,CC Castillon/Pujols,"44.808954, -0.240952","{""coordinates"": [-0.240952, 44.808954], ""type"": ""Point""}",2363,79815498500013,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320787,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-03-12T00:00:00+01:00,2025,0
53325662,LES DOMAINES HENRI MARTIN,LES DOMAINES HENRI MARTIN,,LES DOMAINES HENRI MARTIN,33423,Saint-Julien-Beychevelle,200069995,CC Médoc Coeur de Presqu'île,"45.147788, -0.742327","{""coordinates"": [-0.742327, 45.147788], ""type"": ""Point""}",2523,30461504000017,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053325662,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-03-12T00:00:00+01:00,2025,0
5207593,SMITOM Centre Médoc,SMITOM Centre Médoc,,SMITOM Centre Médoc,33022,Avensan,243301389,CC Médullienne,"45.034122, -0.758331","{""coordinates"": [-0.758331, 45.034122], ""type"": ""Point""}",1266,,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207593,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025,0
5201342,MANUSTOCK - Le Teich,MANUSTOCK,Le Teich,MANUSTOCK — Le Teich,33527,Le Teich,243300563,CA Bassin d'Arcachon Sud (COBAS),"44.634289, -1.021884","{""coordinates"": [-1.021884, 44.634289], ""type"": ""Point""}",850,,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201342,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025,0
5208202,LAFARGE GRANULATS (LG),LAFARGE GRANULATS (LG),Saucats,LAFARGE GRANULATS (LG) — Saucats,33501,Saucats,243301264,CC de Montesquieu,"44.608618, -0.607964","{""coordinates"": [-0.607964, 44.608618], ""type"": ""Point""}",1373,56211088202144,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005208202,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,68,2026-01-15T00:00:00+01:00,2026,1
5213872,JML BATIMENTS - ISDI,JML BATIMENTS,ISDI,JML BATIMENTS — ISDI,33254,Loupiac-de-la-Réole,200044394,CC du Réolais en Sud Gironde,"44.554342, -0.048855","{""coordinates"": [-0.048855, 44.554342], ""type"": ""Point""}",2086,40418700700012,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213872,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2026-03-06T00:00:00+01:00,2026,1
3106689,TRIFFAUT Sylvain,TRIFFAUT Sylvain,,TRIFFAUT Sylvain,33393,Saint-Denis-de-Pile,200070092,CA du Libournais,"44.986985, -0.190482","{""coordinates"": [-0.190482, 44.986985], ""type"": ""Point""}",366,37830591600017,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106689,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025,0
53320839,CHATEAU HAUT BERGEY,CHATEAU HAUT BERGEY,,CHATEAU HAUT BERGEY,33238,Léognan,243301264,CC de Montesquieu,"44.726231, -0.610868","{""coordinates"": [-0.610868, 44.726231], ""type"": ""Point""}",2374,32919773500023,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320839,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-03-12T00:00:00+01:00,2025,0
3102473,GUICHON Ludivine,GUICHON Ludivine,,GUICHON Ludivine,33197,Guillos,200069581,CC Convergence Garonne,"44.547691, -0.513526","{""coordinates"": [-0.513526, 44.547691], ""type"": ""Point""}",90,49276266100014,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003102473,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,2025-02-10T00:00:00+01:00,2025,0
3106229,SOS-AUTO (SARL),SOS-AUTO (SARL),,SOS-AUTO (SARL),33439,Saint-Mariens,243301181,CC Latitude Nord Gironde,"45.118624, -0.413353","{""coordinates"": [-0.413353, 45.118624], ""type"": ""Point""}",328,44337866600012,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106229,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-08-31T00:00:00+02:00,2025,0
