Geo Point,Geo Shape,gid,geom_o,geom_err,ident,libelle,insee,cdate,année,,mdate,siret,regime,cat_seveso,priorite_nationale,fiche,bovins,porcs,volailles,carriere,eolienne,industrie,ied,activite_principale
"44.6488899, -1.1905829","{""coordinates"": [-1.1905829, 44.6488899], ""type"": ""Point""}",1025,0.0,,5206006,SEMA,33009,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,35180609600019,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11
"44.7793089, -0.1162129","{""coordinates"": [-0.1162129, 44.7793089], ""type"": ""Point""}",1030,0.0,,5206063,CAVES DE RAUZAN,33350,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,78197355700015,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206063,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11
"44.9171619, -0.42898","{""coordinates"": [-0.42898, 44.9171619], ""type"": ""Point""}",790,0.0,,5201202,CARROSSERIE LE GRAAL,33433,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201202,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"44.6042469, -1.124939","{""coordinates"": [-1.124939, 44.6042469], ""type"": ""Point""}",856,0.0,,5201354,CAPY EDMOND,33529,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,32103551100021,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201354,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38
"44.8509279, -0.457886","{""coordinates"": [-0.457886, 44.8509279], ""type"": ""Point""}",859,0.0,,5201359,GILLET ALAIN,33535,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,30461895200010,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201359,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,70
"44.5610589, -0.257501","{""coordinates"": [-0.257501, 44.5610589], ""type"": ""Point""}",860,0.0,,5201361,CHEMET-GLI,33533,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,88107401700131,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201361,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25
"44.8486419, -0.46038","{""coordinates"": [-0.46038, 44.8486419], ""type"": ""Point""}",863,0.0,,5201366,SAPAMO,33535,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,33872767000014,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201366,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37
"44.9071639, -0.3373949","{""coordinates"": [-0.3373949, 44.9071639], ""type"": ""Point""}",864,0.0,,5201370,FRONERI Vayres (ex R&R ICE CREAM),33539,2026-03-27T00:00:00+01:00,2026,,2026-03-27T00:00:00+01:00,41147368900015,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201370,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10
"44.9068999, -0.3452789","{""coordinates"": [-0.3452789, 44.9068999], ""type"": ""Point""}",867,0.0,,5201375,O-I France SAS,33539,2026-02-26T00:00:00+01:00,2026,,2026-02-26T00:00:00+01:00,33903070200130,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201375,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,23
"44.7734829, -0.5461629","{""coordinates"": [-0.5461629, 44.7734829], ""type"": ""Point""}",874,0.0,,5201401,GAZECHIM SA,33550,2025-06-22T00:00:00+02:00,2025,,2025-06-22T00:00:00+02:00,54292008700062,AUTORISATION,SEUIL_BAS,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201401,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20
"44.7820449, -0.575871","{""coordinates"": [-0.575871, 44.7820449], ""type"": ""Point""}",875,0.0,,5201402,HEIDELBERG MATERIALS FRANCE GRANULATS (ex GSM),33550,2025-12-09T00:00:00+01:00,2025,,2025-12-09T00:00:00+01:00,57216565201765,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201402,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8
"45.0790349, -0.6346099","{""coordinates"": [-0.6346099, 45.0790349], ""type"": ""Point""}",877,0.0,,5201404,DISTILLERIES VINICOLES DU  BLAYAIS,33551,2025-10-15T00:00:00+02:00,2025,,2025-10-15T00:00:00+02:00,58702006600011,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201404,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,11
"44.6629539, -0.38945","{""coordinates"": [-0.38945, 44.6629539], ""type"": ""Point""}",878,0.0,,5201405,SEMOCTOM (ex CDC Convergence Garonne),33552,2025-10-16T00:00:00+02:00,2025,,2025-10-16T00:00:00+02:00,25330054500030,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201405,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38
"45.1020159, -0.579038","{""coordinates"": [-0.579038, 45.1020159], ""type"": ""Point""}",882,0.0,,5203502,GRELIER  SARL,33047,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,38441797800010,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005203502,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,43
"44.9271209, -0.5618449","{""coordinates"": [-0.5618449, 44.9271209], ""type"": ""Point""}",884,0.0,,5203529,HEIDELBERG MATERIALS (ex GSM),33056,2025-07-29T00:00:00+02:00,2025,,2025-07-29T00:00:00+02:00,57216565200577,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005203529,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8
"44.9171119, -0.427683","{""coordinates"": [-0.427683, 44.9171119], ""type"": ""Point""}",794,0.0,,5201215,PIBERNE JEAN,33433,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,42926034200010,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201215,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
"44.9193629, -0.452162","{""coordinates"": [-0.452162, 44.9193629], ""type"": ""Point""}",796,0.0,,5201221,CLICHEROUX,33433,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201221,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
"44.9508169, -0.534413","{""coordinates"": [-0.534413, 44.9508169], ""type"": ""Point""}",798,0.0,,5201226,FERINOX,33434,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,64204327700143,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201226,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
"44.9503269, -0.533367","{""coordinates"": [-0.533367, 44.9503269], ""type"": ""Point""}",799,0.0,,5201228,PERRET JACQUES,33434,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,34773360200010,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201228,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37
"45.0267379, -0.2667169","{""coordinates"": [-0.2667169, 45.0267379], ""type"": ""Point""}",804,0.0,,5201241,DAU ET LAGRAVE,33445,2025-02-10T00:00:00+01:00,2025,,2025-02-10T00:00:00+01:00,,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201241,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
"44.7225859, -0.5212259","{""coordinates"": [-0.5212259, 44.7225859], ""type"": ""Point""}",806,0.0,,5201243,LYONNET,33448,2026-02-03T00:00:00+01:00,2026,,2026-02-03T00:00:00+01:00,96550427700041,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201243,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16
