codeAiot;raisonSociale;adresse1;adresse2;adresse3;codePostal;codeInsee;commune;codeNaf;numeroSiret;coordonneeX;coordonneeY;systemeCoordonnees;longitude;latitude;bovins;porcs;volailles;carriere;eolienne;industrie;prioriteNationale;statutSeveso;ied;serviceAiot;etatActivite;regimeVigueur;url;structure;etablissement;libelle_complet;nom_commune;epci_siren;epci_nom
0053320787;SAS CHATEAU MILORD;1, Mylord;;;33420;33194;Grézillac;01;79815498500013;443816;6417458;2154;-0.240952;44.808954;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320787;SAS CHATEAU MILORD;;SAS CHATEAU MILORD;Grézillac;243301454;CC Castillon/Pujols
0053325662;LES DOMAINES HENRI MARTIN;Château Gloria;;;33250;33423;Saint-Julien-Beychevelle;01;30461504000017;405995;6456801;2154;-0.742327;45.147788;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053325662;LES DOMAINES HENRI MARTIN;;LES DOMAINES HENRI MARTIN;Saint-Julien-Beychevelle;200069995;CC Médoc Coeur de Presqu'île
0005207593;SMITOM Centre Médoc;Mézi;;;33480;33022;Avensan;;;404138;6444251;2154;-0.758331;45.034122;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207593;SMITOM Centre Médoc;;SMITOM Centre Médoc;Avensan;243301389;CC Médullienne
0005201342;MANUSTOCK - Le Teich;rue de la côte d'Argent;;;33470;33527;Le Teich;;;381147;6400921;2154;-1.021884;44.634289;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201342;MANUSTOCK;Le Teich;MANUSTOCK — Le Teich;Le Teich;243300563;CA Bassin d'Arcachon Sud (COBAS)
0005208202;LAFARGE GRANULATS (LG);Barban Est;;;33650;33501;Saucats;68;56211088202144;413808;6396487;2154;-0.607964;44.608618;false;false;false;true;false;false;false;Non Seveso;false;DREAL NA;En exploitation avec titre;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005208202;LAFARGE GRANULATS (LG);Saucats;LAFARGE GRANULATS (LG) — Saucats;Saucats;243301264;CC de Montesquieu
0005213872;JML BATIMENTS - ISDI;Lieu dit Paluets';;;33190;33254;Loupiac-de-la-Réole;;40418700700012;457901;6388593;2154;-0.048855;44.554342;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En exploitation avec titre;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213872;JML BATIMENTS;ISDI;JML BATIMENTS — ISDI;Loupiac-de-la-Réole;200044394;CC du Réolais en Sud Gironde
0003106689;TRIFFAUT Sylvain;32 Route de Lussac;;;33910;33393;Saint-Denis-de-Pile;;37830591600017;448602;6437053;2154;-0.190482;44.986985;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106689;TRIFFAUT Sylvain;;TRIFFAUT Sylvain;Saint-Denis-de-Pile;200070092;CA du Libournais
0053320839;CHATEAU HAUT BERGEY;69 COURS GAMBETTA;;;33850;33238;Léognan;01;32919773500023;414175;6409548;2154;-0.610868;44.726231;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320839;CHATEAU HAUT BERGEY;;CHATEAU HAUT BERGEY;Léognan;243301264;CC de Montesquieu
0003102473;GUICHON Ludivine;Lieu-dit le Petit Hil Route Départementale n°116E;Parcelle 49 section A;;33720;33197;Guillos;68;49276266100014;420993;6389388;2154;-0.513526;44.547691;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003102473;GUICHON Ludivine;;GUICHON Ludivine;Guillos;200069581;CC Convergence Garonne
0003106229;SOS-AUTO (SARL);ZA PONT DE COTET NORD;;;33620;33439;Saint-Mariens;;44337866600012;431683;6452394;2154;-0.413353;45.118624;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106229;SOS-AUTO (SARL);;SOS-AUTO (SARL);Saint-Mariens;243301181;CC Latitude Nord Gironde
