codeAiot,id_icpe,raisonSociale,libelle_complet,numeroSiret,adresse1,adresse2,adresse3,codePostal,codeInsee,commune,nom_commune,epci_siren,epci_nom,longitude,latitude,regimeVigueur,statutSeveso,prioriteNationale,ied,url,audit_class,audit_group,forward_distance_m,forward_score,forward_type,forward_label,forward_citycode,forward_lat,forward_lon,forward_error,reverse_citycode,reverse_label,pip_in_commune,sentinel_flags,stored_in_reserve,geocoded_in_reserve,stored_reserve_distance_m,geocoded_reserve_distance_m,reserve_ambiguous,reserve_boundary_proximity
0053320787,53320787,SAS CHATEAU MILORD,SAS CHATEAU MILORD,79815498500013,"1, Mylord",,,33420,33194,Grézillac,Grézillac,243301454,CC Castillon/Pujols,-0.240952,44.808954,Autres régimes,,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320787,address_unresolvable_commune_ok,petit,441.367157,0.395677,street,Route de Mylord 33420 Grézillac,33194,44.806106,-0.237055,,33194,1294 Route de Mylord 33420 Grézillac,TRUE,,none,none,6100707.85971,6100223.091549,FALSE,FALSE
0053325662,53325662,LES DOMAINES HENRI MARTIN,LES DOMAINES HENRI MARTIN,30461504000017,Château Gloria,,,33250,33423,Saint-Julien-Beychevelle,Saint-Julien-Beychevelle,200069995,CC Médoc Coeur de Presqu'île,-0.742327,45.147788,Autres régimes,,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053325662,address_imprecise,grand,452.162437,0.458034,locality,Château du Glana 33250 Saint-Julien-Beychevelle,33423,45.151844,-0.741915,,33423,2 Rue Marie Amelie 33250 Saint-Julien-Beychevelle,TRUE,,none,none,6161811.207081,6161960.773551,FALSE,FALSE
0005207593,5207593,SMITOM Centre Médoc,SMITOM Centre Médoc,,Mézi,,,33480,33022,Avensan,Avensan,243301389,CC Médullienne,-0.758331,45.034122,Autorisation,Non Seveso,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207593,address_imprecise,grand,4299.561173,0.6,municipality,"[OPENCAGE] Avensan, Gironde, France",,44.99629,-0.769636,,33022,9bis Rue du Stade 33480 Avensan,TRUE,,none,none,6158030.182349,6157317.458725,FALSE,FALSE
0005201342,5201342,MANUSTOCK - Le Teich,MANUSTOCK — Le Teich,,rue de la côte d'Argent,,,33470,33527,Le Teich,Le Teich,243300563,CA Bassin d'Arcachon Sud (COBAS),-1.021884,44.634289,Enregistrement,Non Seveso,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201342,suspicious,petit,392.814728,0.79478,street,Avenue de la Côte d’Argent 33470 Le Teich,33527,44.635177,-1.026689,,33527,2 Place Pierre Dubernet 33470 Le Teich,TRUE,,none,none,6163724.434817,6164203.460438,FALSE,FALSE
0005208202,5208202,LAFARGE GRANULATS (LG),LAFARGE GRANULATS (LG) — Saucats,56211088202144,Barban Est,,,33650,33501,Saucats,Saucats,243301264,CC de Montesquieu,-0.607964,44.608618,Autorisation,Non Seveso,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005208202,severe,grand,1268.532418,0.545228,street,Barban 33650 Saucats,33501,44.618889,-0.614939,,,,TRUE,,none,none,6124824.706737,6125930.085308,FALSE,FALSE
0005213872,5213872,JML BATIMENTS - ISDI,JML BATIMENTS — ISDI,40418700700012,Lieu dit Paluets',,,33190,33254,Loupiac-de-la-Réole,Loupiac-de-la-Réole,200044394,CC du Réolais en Sud Gironde,-0.048855,44.554342,Enregistrement,Non Seveso,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213872,very_severe,grand,3008.479847,0.5,street,"[OPENCAGE] Impasse du Peuplier, 33190 Loupiac-de-la-Réole, France",,44.52798,-0.040313,,33254,792 Route de la Grave 33190 Loupiac-de-la-Réole,TRUE,,none,none,6071536.009677,6069544.778934,FALSE,FALSE
0003106689,3106689,TRIFFAUT Sylvain,TRIFFAUT Sylvain,37830591600017,32 Route de Lussac,,,33910,33393,Saint-Denis-de-Pile,Saint-Denis-de-Pile,200070092,CA du Libournais,-0.190482,44.986985,Autres régimes,,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106689,severe,grand,1064.529002,0.798611,street,Route de Lussac 33910 Saint-Denis-de-Pile,33393,44.992395,-0.20165,,33393,11 Chemin d’Aigron 33910 Saint-Denis-de-Pile,TRUE,duplicate_coords,none,none,6104376.848798,6105638.068316,FALSE,FALSE
0053320839,53320839,CHATEAU HAUT BERGEY,CHATEAU HAUT BERGEY,32919773500023,69 COURS GAMBETTA,,,33850,33238,Léognan,Léognan,243301264,CC de Montesquieu,-0.610868,44.726231,Autres régimes,,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320839,minor,petit,53.133188,0.964496,housenumber,69 Cours Gambetta 33850 Léognan,33238,44.726687,-0.610667,,33238,69 Cours Gambetta 33850 Léognan,TRUE,,none,none,6130481.643037,6130484.290916,FALSE,FALSE
0003102473,3102473,GUICHON Ludivine,GUICHON Ludivine,49276266100014,Lieu-dit le Petit Hil Route Départementale n°116E,Parcelle 49 section A,,33720,33197,Guillos,Guillos,200069581,CC Convergence Garonne,-0.513526,44.547691,Non ICPE,,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003102473,address_unresolvable_commune_ok,petit,928.079322,0.3,street,"[OPENCAGE] Route de Malentes, 33720 Guillos, France",,44.54679,-0.501883,,33197,Rue de l'Usine 33720 Guillos,TRUE,,none,none,6113438.46238,6112337.754351,FALSE,FALSE
0003106229,3106229,SOS-AUTO (SARL),SOS-AUTO (SARL),44337866600012,ZA PONT DE COTET NORD,,,33620,33439,Saint-Mariens,Saint-Mariens,243301181,CC Latitude Nord Gironde,-0.413353,45.118624,Non ICPE,,false,false,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106229,very_severe,grand,2696.768962,0.6,street,"[OPENCAGE] Chemin Pont de Cotet, 33620 Saint-Mariens, France",,45.114946,-0.379382,,33439,5 Impasse du Sotier 33620 Saint-Mariens,TRUE,duplicate_coords,none,none,6130646.228057,6127400.6463,FALSE,FALSE
