codeAiot;identifiant;nom;type;dateDepot;url
"0005208202";"8aa100b1525a192a01525ab8b1880040";"Arrêté préfectoral concernant LAFARGE GRANULATS FRANCE Saucats daté du 15/12/2015";"Arrêté préfectoral";"2015-12-15";"B/0/8aa100b1525a192a01525ab8b1880040.pdf"
"0005208202";"8aa100b14390f7f20143912f0bb6000c";"Rapport concernant SGG - Saucats (Barban E) daté du 06/11/2013";Rapport;"2013-11-06";"B/c/8aa100b14390f7f20143912f0bb6000c.pdf"
"0005208202";"8aa100b155bb51cd0155bb5761570005";"AP LGF SAUCATS";"Arrêté préfectoral";"2016-06-16";"B/5/8aa100b155bb51cd0155bb5761570005.pdf"
"0005208202";"30287317642946a4992e39558f04cf79";"AP d'autorisation d'exploitation d'une carrière à ciel ouvert";"Arrêté préfectoral";"2007-12-11";"B/9/30287317642946a4992e39558f04cf79.pdf"
"0005208202";"154e20584824449eae52224a5299721a";"RapCDNPS proposant un AP d'autorisation";Rapport;"2007-09-28";"B/a/154e20584824449eae52224a5299721a.pdf"
"0005208202";"8aa100b14390f7f20143912f0bb60012";"Arrêté préfectoral concernant SGG - Saucats (Barban E) daté du 21/12/2013";"Arrêté préfectoral";"2013-12-21";"B/2/8aa100b14390f7f20143912f0bb60012.pdf"
"0005208202";"Z6QXCK7aaLyv12cL3odQTyqBwkLWVzKm";"LAFARGE_GRANULATS_Saucats_APC_prolongation_21-06-2023.pdf";"AP prescriptions complémentaires";"2023-06-21";"B/m/Z6QXCK7aaLyv12cL3odQTyqBwkLWVzKm.pdf"
"0005213872";"8aa100b15ca16263015ca169879c0008";"JML AP ABROGATION MED";"Arrêté préfectoral";"2017-06-01";"B/8/8aa100b15ca16263015ca169879c0008.pdf"
"0005213872";"8aa100b1667d52ec01667d62b47e000a";"JML LOUPIAC RAPPORT";Rapport;"2018-05-24";"B/a/8aa100b1667d52ec01667d62b47e000a.pdf"
"0005213872";"8aa100b1667d52ec01667d6139d20006";"JML LOUPIAC AP ENR";"Arrêté préfectoral";"2018-06-12";"B/6/8aa100b1667d52ec01667d6139d20006.pdf"
"0005213872";"8aa100b158fddb950158fdec6d5f0028";"Nouveau document";"Arrêté de mise en demeure";"2016-12-06";"B/8/8aa100b158fddb950158fdec6d5f0028.pdf"
"0005207770";"8aa100b144022ab20144024988590004";"Arrêté préfectoral concernant CANTE Jean-Pierre - IC daté du 22/01/2014";"Arrêté préfectoral";"2014-01-22";"B/4/8aa100b144022ab20144024988590004.pdf"
"0005207770";"2952ea290ac84af58b9ec62b72eb8197";"APC imposant la réalisation d'une étude de dépollution du site";"Arrêté préfectoral";"2011-01-07";"B/7/2952ea290ac84af58b9ec62b72eb8197.pdf"
"0005207770";"3358e29ae93843738ebb693a28f25ad0";"RAPCODERS+projet APC imposant la réalisat° d'une étude de dépollution du site";Rapport;"2010-10-11";"B/0/3358e29ae93843738ebb693a28f25ad0.pdf"
"0005207770";"8aa100b152ca87660152ca990ddf0004";"Arrêté de mise en demeure concernant CANTE Jean-Pierre - IC daté du 03/07/2015";"Arrêté de mise en demeure";"2015-07-03";"B/4/8aa100b152ca87660152ca990ddf0004.pdf"
"0005207770";"8aa100b144022ab20144024988780009";"Rapport concernant CANTE Jean-Pierre - IC daté du 18/11/2013";Rapport;"2013-11-18";"B/9/8aa100b144022ab20144024988780009.pdf"
"0005208292";"070d07047abf48ad9669782518daa2f2";"AP d'autorisation exploitation installat° de traitemt matériaux minéral naturel";"Arrêté préfectoral";"2008-06-02";"B/2/070d07047abf48ad9669782518daa2f2.pdf"
"0005208292";"f19c76aec8c94ede9797e9f7e4dd688d";"RACODERST+projet AP autorisat° exploitat°installat° traitemt matériaux minéral";Rapport;"2008-03-27";"B/d/f19c76aec8c94ede9797e9f7e4dd688d.pdf"
"0053324941";"8aa100b15e37667e015e3783133a0020";"120802_APAE_FRUIDOR_16776-2";"Arrêté préfectoral";"2017-08-31";"B/0/8aa100b15e37667e015e3783133a0020.pdf"
"0053324941";"8aa100b15e37667e015e3783326a0036";"Rapport CODERST";"Arrêté préfectoral";"2017-08-31";"B/6/8aa100b15e37667e015e3783326a0036.pdf"
"0005212741";"8aa100b1586342970158637bb98e000d";"Rapport BDX METROPOLE STEP ambarès";Rapport;"2016-08-04";"B/d/8aa100b1586342970158637bb98e000d.pdf"
"0005212741";"8aa100b1586342970158637d2bce000f";"AP Enregistrement BDX METROPOLE STEP Ambarès";"Arrêté préfectoral";"2016-10-24";"B/f/8aa100b1586342970158637d2bce000f.pdf"
"0005207555";"8aa100b15964f534015964f9e4d60008";"DECHARGE CUSSAC APC";"Arrêté préfectoral";"2016-12-20";"B/8/8aa100b15964f534015964f9e4d60008.pdf"
"0005203501";"8aa100b141c675290141c690a876000a";"Arrêté préfectoral concernant SIBELCO ex SIFRACO - Ballion& Litche Sud daté du 11/10/2013";"Arrêté préfectoral";"2013-10-11";"B/a/8aa100b141c675290141c690a876000a.pdf"
"0005203501";"8aa100b13c71e57b013c721499ba0012";"Arrêté préfectoral concernant SIBELCO ex SIFRACO - Ballion& Litche Sud daté du 18/01/2013";"Arrêté préfectoral";"2013-01-18";"B/2/8aa100b13c71e57b013c721499ba0012.pdf"
"0005203501";"8aa100b13c71e57b013c7214997b000d";"Rapport concernant SIBELCO ex SIFRACO - Ballion& Litche Sud daté du 29/11/2012";Rapport;"2012-11-29";"B/d/8aa100b13c71e57b013c7214997b000d.pdf"
"0003100791";"8aa100b1552ad7bb01552b5d230c005b";"APMD du 23 mai 2016";"Arrêté de mise en demeure";"2016-05-23";"B/b/8aa100b1552ad7bb01552b5d230c005b.pdf"
