codeAiot;numeroRubrique;nature;alinea;regimeAutoriseAlinea;quantiteTotale;unite;dateMotif
"0005208202";"2510";"Carrières (exploitation de)";"1";Autorisation;;;"21/06/2023"
"0005213872";"2760";"Installation de stockage de déchets inertes";"3";Enregistrement;;;"12/06/2018"
"0005208292";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.a";Enregistrement;"1100.000";kW;"02/06/2008"
"0053324941";"2220";"Supérieure à 10 t/j";"2.a";Enregistrement;"60.0";"t/j";
"0005203501";"2510";"Carrières (exploitation de)";"1";Autorisation;;;"26/11/2019"
"0005203501";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.b";Déclaration;"145.000";kW;"26/11/2019"
"0005200420";"3110";Combustion;;Autorisation;"279.000";MW;"30/03/2021"
"0005200420";"2925";"Charge d'accumulateurs dégageant de l'hydrogène";"1";Déclaration;"350.000";kW;"30/03/2021"
"0005200420";"2517";"Produits minéraux ou déchets non dangereux inertes (transit)";"2";Déclaration;"10000.000";"m2";"11/02/2026"
"0005200420";"3610";"papier ou carton";b;Autorisation;"1894.000";"t/j";"30/03/2021"
"0005200420";"2640";"Supérieure ou égale à 2 t/j";a;Autorisation;"75.000";"t/j";"30/03/2021"
"0005200420";"2520";"Fabrication de ciments, chaux, plâtres";;Autorisation;"280.000";"t/j";"11/02/2026"
"0005200420";"2921";"Installations de refroidissement évaporatif";"1.a";Enregistrement;"54578.000";kW;"30/03/2021"
"0005200420";"4510";"Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1";"2";"Déclaration avec contrôle";"74.000";t;"11/02/2026"
"0005200420";"1185";"Quantité susceptible d'être présente";"2.a";"Déclaration avec contrôle";"750.000";kg;"30/03/2021"
"0005200420";"2714";"déchets non dangereux de papiers, plastiques, bois,? (transit) hors 2710,2711 et 2719";"1";Enregistrement;"19150.000";"m3";"30/03/2021"
"0005200420";"2260";"Supérieure à 500 kW";"1.a";Enregistrement;"2182.000";kW;"30/03/2021"
"0005200420";"3310";"Production de chaux";"2";Autorisation;"280.000";"t/j";"11/02/2026"
"0005200420";"4719";"Acétylène (numéro CAS 74-86-2)";"2";Déclaration;;;"30/03/2021"
"0005200420";"1630";"Soude ou potasse caustique";"1";Autorisation;"2617.000";t;"11/02/2026"
"0005200420";"2430";"Supérieure à 10 t/j";a;Autorisation;"1100.000";"t/j";"30/03/2021"
"0005200420";"1530";"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510";"2";"Déclaration avec contrôle";"17500.000";"m3";"30/03/2021"
"0005200420";"3610";"pâte à papier";a;Autorisation;;;"11/02/2026"
"0005200420";"2560";"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW";"2";"Déclaration avec contrôle";"250.000";kW;"30/03/2021"
"0005200420";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.b";Déclaration;"200.000";kW;"11/02/2026"
"0005200420";"1434";"Liquides inflammables (remplissage ou distribution) autres que 1435";"1.b";"Déclaration avec contrôle";"76.000";"m3/h";"30/03/2021"
"0005200420";"1532";"Stockage de bois enregistré";"2.a";Enregistrement;"360000.000";"m3";"11/02/2026"
"0005200420";"4734";"Produits pétroliers spécifiques et carburants de substitution";"2.b";Enregistrement;;;"30/03/2021"
"0005201164";"2712";"Stockage, dépollution, démontage,? de VHU";"1";Enregistrement;"9000.0";"m2";
"0005201164";"2713";"Métaux et déchets de métaux (transit)";"1";Enregistrement;"9000.0";"m2";
"0005200416";"2130";Piscicultures;"1";Autorisation;"140.000";"t/an";"12/07/1994"
"0005208957";"2940";"Vernis, peinture, colle, ... (application, cuisson, séchage)";"3.b";"Déclaration avec contrôle";"35.000";"kg/j";"05/01/2011"
"0005208957";"2567";"Supérieure à 20 kg/jour mais inférieure ou égale à 200 kg/jour";"2.b";"Déclaration avec contrôle";"52.000";"kg/j";"02/10/2014"
"0005206006";"2661";"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)";"1.b";Enregistrement;"14.4";"t/j";
"0005206798";"2710";"collecte de déchets non dangereux-E";"2.a";Enregistrement;"521.0";"m3";
"0005206798";"2710";"collecte de déchets dangereux-DC";"1.b";"Déclaration avec contrôle";"4.6";t;
"0005208810";"2921";"Installations de refroidissement évaporatif";"1.b";"Déclaration avec contrôle";"695.0";kW;
"0005208810";"2251";"Vins (préparation, conditionnement)";"1";Enregistrement;"25000.0";"hL/an";
"0003105066";"1510";"Entrepot enregistré";"2.b";Enregistrement;"137554.000";"m3";"24/03/2025"
"0003106862";"2714";"déchets non dangereux de papiers, plastiques, bois,? (transit) hors 2710,2711 et 2719";"1";Enregistrement;"6655.000";"m3";"28/04/2022"
"0003106862";"2713";"Métaux et déchets de métaux (transit)";"2";Déclaration;"100.000";"m2";"28/04/2022"
"0005206314";"2510";"Carrières (exploitation de)";"1";Autorisation;;;
"0005200677";"2712";"Stockage, dépollution, démontage,? de VHU";"1";Enregistrement;"0.0";"m2";
"0005207673";"1510";"Entrepot enregistré";"2.b";Enregistrement;"150000.000";"m3";"04/01/2012"
"0005207673";"2925";"Charge d'accumulateurs dégageant de l'hydrogène";"1";Déclaration;"60.000";kW;"04/01/2012"
