fiche_id,slug,filename,word_count,date_inspection,type_suite,theme,regime_icpe,categorie_seveso,nom_commune,id_icpe,source_pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f01,33000-environnement-ex-enrobes52048972022-11-1831458382400102f01,33000-environnement-ex-enrobes52048972022-11-1831458382400102f01.txt,312,2022-11-18,Sans suite,"Situation administrative, Classement des installations",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f02,33000-environnement-ex-enrobes52048972022-11-1831458382400102f02,33000-environnement-ex-enrobes52048972022-11-1831458382400102f02.txt,351,2022-11-18,Sans suite,"Risques chroniques, Mise en place de la procédure",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f03,33000-environnement-ex-enrobes52048972022-11-1831458382400102f03,33000-environnement-ex-enrobes52048972022-11-1831458382400102f03.txt,370,2022-11-18,Susceptible de suites,"Risques chroniques, Présence du document préalable",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f04,33000-environnement-ex-enrobes52048972022-11-1831458382400102f04,33000-environnement-ex-enrobes52048972022-11-1831458382400102f04.txt,189,2022-11-18,Sans suite,"Risques chroniques, Contrôle visuel",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f05,33000-environnement-ex-enrobes52048972022-11-1831458382400102f05,33000-environnement-ex-enrobes52048972022-11-1831458382400102f05.txt,118,2022-11-18,Susceptible de suites,"Risques chroniques, Accusé d’acceptation",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f06,33000-environnement-ex-enrobes52048972022-11-1831458382400102f06,33000-environnement-ex-enrobes52048972022-11-1831458382400102f06.txt,244,2022-11-18,Susceptible de suites,"Risques chroniques, Registre d’admission",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f07,33000-environnement-ex-enrobes52048972022-11-1831458382400102f07,33000-environnement-ex-enrobes52048972022-11-1831458382400102f07.txt,481,2022-11-18,Sans suite,"Risques chroniques, Mesures de prévention",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f08,33000-environnement-ex-enrobes52048972022-11-1831458382400102f08,33000-environnement-ex-enrobes52048972022-11-1831458382400102f08.txt,200,2022-11-18,Susceptible de suites,"Risques chroniques, Surveillances des retombées atmosphériques de poussières",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f09,33000-environnement-ex-enrobes52048972022-11-1831458382400102f09,33000-environnement-ex-enrobes52048972022-11-1831458382400102f09.txt,201,2022-11-18,Susceptible de suites,"Risques chroniques, Surveillance des émissions sonores",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f10,33000-environnement-ex-enrobes52048972022-11-1831458382400102f10,33000-environnement-ex-enrobes52048972022-11-1831458382400102f10.txt,563,2022-11-18,Susceptible de suites,"Risques accidentels, Entretien des dispositifs de lutte incendie",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f11,33000-environnement-ex-enrobes52048972022-11-1831458382400102f11,33000-environnement-ex-enrobes52048972022-11-1831458382400102f11.txt,272,2022-11-18,Susceptible de suites,"Risques chroniques, Gestion des effluents",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f12,33000-environnement-ex-enrobes52048972022-11-1831458382400102f12,33000-environnement-ex-enrobes52048972022-11-1831458382400102f12.txt,291,2022-11-18,Susceptible de suites,"Risques chroniques, Surveillance des rejets aqueux",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f13,33000-environnement-ex-enrobes52048972022-11-1831458382400102f13,33000-environnement-ex-enrobes52048972022-11-1831458382400102f13.txt,251,2022-11-18,Susceptible de suites,"Risques chroniques, Respect des VLE",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f14,33000-environnement-ex-enrobes52048972022-11-1831458382400102f14,33000-environnement-ex-enrobes52048972022-11-1831458382400102f14.txt,95,2022-11-18,Sans suite,"Risques chroniques, Consommation d’eau",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102_f15,33000-environnement-ex-enrobes52048972022-11-1831458382400102f15,33000-environnement-ex-enrobes52048972022-11-1831458382400102f15.txt,67,2022-11-18,Susceptible de suites,"Autre, Clôture du site",ENREGISTREMENT,NON_SEVESO,Villenave-d'Ornon,5204897,33000-ENVIRONNEMENT-ex-ENROBES_5204897_2022-11-18_31458382400102.pdf
